2025-08-29 11:17:40,416 [INFO] Starting video processing... Press 'q' to quit. 
2025-08-29 11:17:40,416 [INFO] Saving processed video to output\pose_estimation.avi
2025-08-29 11:17:41,261 [INFO] Marker ID 23 - rvec: [ 2.69513432  0.54296223 -0.06534003], tvec: [-0.07352549  0.03317899  0.70869319]
2025-08-29 11:17:41,261 [INFO] Marker ID 40 - rvec: [-2.96367921 -0.67393815 -0.51735105], tvec: [-0.08413436  0.11855483  0.71024542]
2025-08-29 11:17:41,261 [INFO] Marker ID 98 - rvec: [ 2.73162355  0.56468872 -0.35181617], tvec: [-0.03982326  0.10557287  0.73099095]
2025-08-29 11:17:41,261 [INFO] Marker ID 124 - rvec: [ 1.75925065  2.75451942 -0.35279235], tvec: [-0.01956223  0.03835004  0.74417035]
2025-08-29 11:17:41,311 [INFO] Marker ID 62 - rvec: [ 0.58430392 -2.9939597   0.62577784], tvec: [-0.13151087  0.04744721  0.67123519]
2025-08-29 11:17:41,311 [INFO] Marker ID 203 - rvec: [2.97782892 0.59387714 0.06366606], tvec: [-0.11864792 -0.01481132  0.71398293]
2025-08-29 11:17:41,311 [INFO] Marker ID 23 - rvec: [-2.79665746 -0.62107273 -0.32939019], tvec: [-0.07381553  0.03326831  0.70867472]
2025-08-29 11:17:41,311 [INFO] Marker ID 40 - rvec: [-3.04926301 -0.70148339 -0.42090009], tvec: [-0.08489812  0.11929661  0.71666301]
2025-08-29 11:17:41,311 [INFO] Marker ID 98 - rvec: [ 2.68112258  0.54033011 -0.23829393], tvec: [-0.04032093  0.10633012  0.73739437]
2025-08-29 11:17:41,321 [INFO] Marker ID 124 - rvec: [ 1.65962557  2.55124149 -0.59542416], tvec: [-0.01957678  0.03789199  0.73898247]
2025-08-29 11:17:41,363 [INFO] Marker ID 62 - rvec: [ 0.59264609 -3.02110121  0.53848487], tvec: [-0.13417137  0.0477608   0.6840569 ]
2025-08-29 11:17:41,365 [INFO] Marker ID 203 - rvec: [3.1579675  0.68082307 0.36044249], tvec: [-0.11792432 -0.01500221  0.7097037 ]
2025-08-29 11:17:41,366 [INFO] Marker ID 23 - rvec: [2.83887692e+00 5.84620063e-01 1.34845003e-03], tvec: [-0.07558337  0.03344249  0.72398901]
2025-08-29 11:17:41,367 [INFO] Marker ID 40 - rvec: [ 2.65820666  0.50963666 -0.24545094], tvec: [-0.08449516  0.11754412  0.71030097]
2025-08-29 11:17:41,367 [INFO] Marker ID 98 - rvec: [ 2.68193205  0.54058253 -0.23808251], tvec: [-0.04032103  0.10568589  0.73744441]
2025-08-29 11:17:41,370 [INFO] Marker ID 124 - rvec: [-1.73398757 -2.66743729 -0.36471485], tvec: [-0.01997655  0.03848672  0.75575269]
2025-08-29 11:17:41,411 [INFO] Marker ID 62 - rvec: [ 0.58198418 -3.04514723  0.78834441], tvec: [-0.13141297  0.04657735  0.67160722]
2025-08-29 11:17:41,411 [INFO] Marker ID 203 - rvec: [3.25366463 0.78255216 0.48019004], tvec: [-0.11541634 -0.01517945  0.69741656]
2025-08-29 11:17:41,411 [INFO] Marker ID 23 - rvec: [2.83968752e+00 5.84820827e-01 1.61918315e-03], tvec: [-0.07558341  0.03281152  0.72400478]
2025-08-29 11:17:41,411 [INFO] Marker ID 40 - rvec: [ 2.54390542  0.50047623 -0.18211799], tvec: [-0.08360009  0.11620455  0.70418546]
2025-08-29 11:17:41,411 [INFO] Marker ID 98 - rvec: [3.12860953 0.67873718 0.45502224], tvec: [-0.03983899  0.10412766  0.72944678]
2025-08-29 11:17:41,422 [INFO] Marker ID 124 - rvec: [-1.72582868 -2.61688007  0.44527825], tvec: [-0.02001765  0.03811035  0.75583532]
2025-08-29 11:17:41,493 [INFO] Marker ID 62 - rvec: [ 0.55889089 -3.0115381   0.74093057], tvec: [-0.13099575  0.04628073  0.6694432 ]
2025-08-29 11:17:41,495 [INFO] Marker ID 203 - rvec: [-2.77493488 -0.62621481 -0.29907627], tvec: [-0.11417096 -0.01512135  0.68799157]
2025-08-29 11:17:41,497 [INFO] Marker ID 23 - rvec: [3.33519294 0.72128195 0.30157889], tvec: [-0.07328978  0.03187021  0.70506539]
2025-08-29 11:17:41,498 [INFO] Marker ID 40 - rvec: [ 2.60231619  0.48174871 -0.17030604], tvec: [-0.08429261  0.11744844  0.71266422]
2025-08-29 11:17:41,500 [INFO] Marker ID 98 - rvec: [ 2.60999425  0.52113908 -0.16329547], tvec: [-0.03911499  0.10272801  0.72132343]
2025-08-29 11:17:41,501 [INFO] Marker ID 124 - rvec: [-1.64314963 -2.49195813  0.56036   ], tvec: [-0.01928268  0.03665646  0.73335133]
2025-08-29 11:17:41,540 [INFO] Marker ID 62 - rvec: [-0.61911284  3.0613503  -0.41562072], tvec: [-0.13341532  0.04696348  0.68332469]
2025-08-29 11:17:41,543 [INFO] Marker ID 203 - rvec: [2.77510944 0.55411164 0.17009233], tvec: [-0.11386501 -0.01520159  0.6880069 ]
2025-08-29 11:17:41,547 [INFO] Marker ID 23 - rvec: [3.24272439 0.70657731 0.34375294], tvec: [-0.07495407  0.03272145  0.72417241]
2025-08-29 11:17:41,548 [INFO] Marker ID 40 - rvec: [ 2.60231619  0.48174871 -0.17030604], tvec: [-0.08429261  0.11744844  0.71266422]
2025-08-29 11:17:41,549 [INFO] Marker ID 124 - rvec: [1.60556146 2.52840576 0.42563825], tvec: [-0.01880651  0.0370021   0.73599087]
2025-08-29 11:17:41,550 [INFO] Marker ID 98 - rvec: [-3.3610601  -0.69592599  0.43024532], tvec: [-0.03955418  0.10410511  0.73202075]
2025-08-29 11:17:41,592 [INFO] Marker ID 203 - rvec: [-2.77494011 -0.62602373 -0.29785637], tvec: [-0.11357277 -0.01512161  0.68804761]
2025-08-29 11:17:41,592 [INFO] Marker ID 62 - rvec: [ 0.74932096 -3.34666713 -0.375447  ], tvec: [-0.132965    0.04764556  0.68348967]
2025-08-29 11:17:41,592 [INFO] Marker ID 23 - rvec: [-3.39061278 -0.697366    0.05394586], tvec: [-0.07327962  0.03213313  0.70932958]
2025-08-29 11:17:41,592 [INFO] Marker ID 40 - rvec: [-3.48099109 -0.66760316  0.33159445], tvec: [-0.0835734   0.11755673  0.71043197]
2025-08-29 11:17:41,592 [INFO] Marker ID 98 - rvec: [ 2.67532202  0.58166335 -0.24045952], tvec: [-0.03883975  0.10397398  0.72777492]
2025-08-29 11:17:41,592 [INFO] Marker ID 124 - rvec: [1.5601813  2.4248962  0.23561225], tvec: [-0.01851909  0.0368943   0.73748277]
2025-08-29 11:17:41,640 [INFO] Marker ID 62 - rvec: [-0.61821948  2.77825946  0.22453845], tvec: [-0.13238003  0.04749208  0.68361253]
2025-08-29 11:17:41,640 [INFO] Marker ID 203 - rvec: [-2.77494439 -0.62583254 -0.29663651], tvec: [-0.11297456 -0.01512187  0.68810327]
2025-08-29 11:17:41,640 [INFO] Marker ID 23 - rvec: [-2.83127146 -0.64317652 -0.19439572], tvec: [-0.07274312  0.03240158  0.71018432]
2025-08-29 11:17:41,640 [INFO] Marker ID 40 - rvec: [-3.62671834 -0.70163434  0.16721927], tvec: [-0.08237117  0.11599789  0.70300366]
2025-08-29 11:17:41,640 [INFO] Marker ID 98 - rvec: [ 2.68201759  0.54094685 -0.24039829], tvec: [-0.03903819  0.10568653  0.73748471]
2025-08-29 11:17:41,640 [INFO] Marker ID 124 - rvec: [-1.67641191 -2.55349523  0.36988667], tvec: [-0.01854723  0.03793875  0.7490169 ]
2025-08-29 11:17:41,689 [INFO] Marker ID 203 - rvec: [2.77555055 0.55457998 0.16776353], tvec: [-0.11266861 -0.0152021   0.68811823]
2025-08-29 11:17:41,691 [INFO] Marker ID 62 - rvec: [ 0.74887013 -3.34587097 -0.37557711], tvec: [-0.1323697   0.04764618  0.6835607 ]
2025-08-29 11:17:41,691 [INFO] Marker ID 23 - rvec: [3.13601329 0.66879686 0.44183356], tvec: [-0.07300595  0.03272197  0.71755091]
2025-08-29 11:17:41,691 [INFO] Marker ID 40 - rvec: [ 2.60470944  0.50209378 -0.24619787], tvec: [-0.08161843  0.115445    0.69774516]
2025-08-29 11:17:41,691 [INFO] Marker ID 124 - rvec: [-1.74958397 -2.71844719  0.3586874 ], tvec: [-0.01799872  0.03800286  0.74728336]
2025-08-29 11:17:41,691 [INFO] Marker ID 98 - rvec: [-2.92701048 -0.65785736 -0.50943045], tvec: [-0.03789917  0.10424843  0.72583813]
